Name,Phone,Email
Deo,256700000001,deo@mail.com
Aisha,256780000002,aisha@mail.com
Fred,25670000003,fred@mail.com
Grace,256750000004,grace@mail.com
Brian,071000005,brian@mail.com
Sarah,256700000001,sarah@mail.com
Kevin,256760000006,kevin@mail.com
Linda,123456789012,linda@mail.com
Moses,25677ABC0007,moses@mail.com
,256750000010,unknown@mail.com
Patricia,256710000008,patricia@mail.com
James,256720000009,james@mail.com
Rose,256730000011,rose@mail.com
Peter,0772000012,peter@mail.com
Martha,256740000013,martha@mail.com
John,256710000008,john@mail.com
Esther,256750000014,esther@mail.com
Samuel,2567100000156,samuel@mail.com
Rebecca,256760000016,rebecca@mail.com
,256770000017,noname@mail.com
David,256780000018,david@mail.com
Juliet,256790000019,juliet@mail.com
Isaac,256700000020,isaac@mail.com
Mercy,256710000021,mercy@mail.com
Paul,0700000022,paul@mail.com
Agnes,256720000023,agnes@mail.com
Daniel,256730000024,daniel@mail.com
Catherine,256730000024,catherine@mail.com
Emmanuel,256740000025,emmanuel@mail.com
Flavia,256750000026,flavia@mail.com
Henry,25676000027,henry@mail.com
Irene,256770000028,irene@mail.com
Joel,256780000029,joel@mail.com
Lydia,ABC256790030,lydia@mail.com
Michael,256700000031,michael@mail.com
Naomi,256710000032,naomi@mail.com
Oscar,256780000002,oscar@mail.com
Prossy,256720000033,prossy@mail.com
,256730000034,anon3@mail.com
Ritah,256740000035,ritah@mail.com
Simon,256750000036,simon@mail.com
Tom,256760000037,tom@mail.com
Umar,256770000038,umar@mail.com
Vivian,256780000039,vivian@mail.com
Wilson,0041256790040,wilson@mail.com
Xavier,256700000041,xavier@mail.com
Yvonne,256710000042,yvonne@mail.com
Zainab,256720000043,zainab@mail.com
Allan,256730000044,allan@mail.com
Betty,256740000045,betty@mail.com
